Date,C4Super,C4Medium,Bulog
2021-04-23,11833.0,10583.0,9167.0
2021-04-24,11833.0,10583.0,9167.0
2021-04-25,11833.0,10583.0,9167.0
2021-04-26,11833.0,10583.0,9167.0
2021-04-27,11833.0,10583.0,9167.0
2021-04-28,11833.0,10583.0,9167.0
2021-04-29,11833.0,10583.0,9167.0
2021-04-30,11833.0,10583.0,9167.0
2021-05-01,11833.0,10583.0,9167.0
2021-05-02,11833.0,10583.0,9167.0
2021-05-03,11833.0,10583.0,9167.0
2021-05-04,11867.0,10583.0,9167.0
2021-05-05,11867.0,10583.0,9167.0
2021-05-06,11867.0,10583.0,9167.0
2021-05-07,11867.0,10583.0,9167.0
2021-05-08,11867.0,10583.0,9167.0
2021-05-09,11867.0,10583.0,9167.0
2021-05-10,11867.0,10583.0,9167.0
2021-05-11,11867.0,10583.0,9167.0
2021-05-12,11867.0,10583.0,9167.0
2021-05-13,11867.0,10583.0,9167.0
2021-05-14,11867.0,10583.0,9167.0
2021-05-15,11855.666666666666,10611.0,9167.0
2021-05-16,11844.333333333334,10639.0,9167.0
2021-05-17,11833.0,10667.0,9167.0
2021-05-18,11833.0,10667.0,9167.0
2021-05-19,11833.0,10667.0,9167.0
2021-05-20,11833.0,10667.0,9167.0
2021-05-21,11833.0,10667.0,9167.0
2021-05-22,11833.0,10667.0,9167.0
2021-05-23,11833.0,10667.0,9167.0
2021-05-24,11833.0,10667.0,9167.0
2021-05-25,11833.0,10667.0,9167.0
2021-05-26,11833.0,10667.0,9167.0
2021-05-27,11833.0,10667.0,9167.0
2021-05-28,11833.0,10667.0,9167.0
2021-05-29,11833.0,10667.0,9167.0
2021-05-30,11833.0,10667.0,9167.0
2021-05-31,11833.0,10667.0,9167.0
2021-06-01,11833.0,10667.0,9167.0
2021-06-02,11833.0,10667.0,9167.0
2021-06-03,11833.0,10667.0,9167.0
2021-06-04,11833.0,10667.0,9167.0
2021-06-05,11833.0,10667.0,9167.0
2021-06-06,11833.0,10667.0,9167.0
2021-06-07,11833.0,10667.0,9167.0
2021-06-08,12167.0,10833.0,9167.0
2021-06-09,12500.0,11000.0,9167.0
2021-06-10,12500.0,11000.0,9167.0
2021-06-11,12500.0,11000.0,9167.0
2021-06-12,12389.0,10944.333333333334,9167.0
2021-06-13,12278.0,10888.666666666666,9167.0
2021-06-14,12167.0,10833.0,9167.0
2021-06-15,12167.0,10833.0,9167.0
2021-06-16,12167.0,10833.0,9167.0
2021-06-17,12167.0,10833.0,9167.0
2021-06-18,12167.0,10833.0,9167.0
2021-06-19,12167.0,10833.0,9167.0
2021-06-20,12167.0,10833.0,9167.0
2021-06-21,12167.0,10833.0,9167.0
2021-06-22,12167.0,10833.0,9167.0
2021-06-23,12167.0,10833.0,9167.0
2021-06-24,12167.0,10833.0,9167.0
2021-06-25,12167.0,10833.0,9167.0
2021-06-26,12167.0,10833.0,9167.0
2021-06-27,12167.0,10833.0,9167.0
2021-06-28,12167.0,10833.0,9167.0
2021-06-29,12167.0,10833.0,9167.0
2021-06-30,12167.0,10833.0,9167.0
2021-07-01,12167.0,10833.0,9167.0
2021-07-02,12167.0,10833.0,9167.0
2021-07-03,12167.0,10833.0,9167.0
2021-07-04,12167.0,10833.0,9167.0
2021-07-05,12167.0,10833.0,9167.0
2021-07-06,12167.0,10833.0,9167.0
2021-07-07,12167.0,10833.0,9167.0
2021-07-08,12167.0,10833.0,9167.0
2021-07-09,12167.0,10833.0,9167.0
2021-07-10,12167.0,10833.0,9167.0
2021-07-11,12167.0,10833.0,9167.0
2021-07-12,12167.0,10833.0,9167.0
2021-07-13,12167.0,10833.0,9167.0
2021-07-14,12083.0,10750.0,9242.0
2021-07-15,12083.0,10750.0,9242.0
2021-07-16,12083.0,10750.0,9242.0
2021-07-17,12083.0,10750.0,9242.0
2021-07-18,12083.0,10750.0,9242.0
2021-07-19,12083.0,10750.0,9242.0
2021-07-20,12083.0,10750.0,9242.0
2021-07-21,12083.0,10750.0,9242.0
2021-07-22,12083.0,10750.0,9242.0
2021-07-23,12083.0,10750.0,9242.0
2021-07-24,12083.0,10750.0,9242.0
2021-07-25,12083.0,10750.0,9242.0
2021-07-26,12083.0,10750.0,9242.0
2021-07-27,12083.0,10750.0,9242.0
2021-07-28,12083.0,10750.0,9242.0
2021-07-29,12083.0,10750.0,9242.0
2021-07-30,12083.0,10750.0,9242.0
2021-07-31,11944.333333333334,10639.0,9261.333333333334
2021-08-01,11805.666666666666,10528.0,9280.666666666666
2021-08-02,11667.0,10417.0,9300.0
2021-08-03,11667.0,10417.0,9300.0
2021-08-04,11667.0,10417.0,9300.0
2021-08-05,11667.0,10417.0,9300.0
2021-08-06,11667.0,10417.0,9300.0
2021-08-07,11667.0,10417.0,9300.0
2021-08-08,11667.0,10417.0,9300.0
2021-08-09,11667.0,10417.0,9300.0
2021-08-10,11667.0,10417.0,9300.0
2021-08-11,11667.0,10417.0,9300.0
2021-08-12,11667.0,10417.0,9300.0
2021-08-13,11667.0,10417.0,9300.0
2021-08-14,11694.666666666666,10444.666666666666,9294.333333333334
2021-08-15,11722.333333333334,10472.333333333334,9288.666666666666
2021-08-16,11750.0,10500.0,9283.0
2021-08-17,11750.0,10500.0,9283.0
2021-08-18,11750.0,10500.0,9283.0
2021-08-19,11750.0,10500.0,9283.0
2021-08-20,11750.0,10500.0,9283.0
2021-08-21,11750.0,10500.0,9283.0
2021-08-22,11750.0,10500.0,9283.0
2021-08-23,11750.0,10500.0,9283.0
2021-08-24,11750.0,10500.0,9350.0
2021-08-25,11750.0,10500.0,9350.0
2021-08-26,11750.0,10500.0,9350.0
2021-08-27,11750.0,10500.0,9350.0
2021-08-28,11750.0,10500.0,9350.0
2021-08-29,11750.0,10500.0,9350.0
2021-08-30,11750.0,10500.0,9350.0
2021-08-31,11750.0,10500.0,9350.0
2021-09-01,11750.0,10500.0,9350.0
2021-09-02,11750.0,10500.0,9350.0
2021-09-03,11750.0,10500.0,9350.0
2021-09-04,11750.0,10500.0,9327.666666666666
2021-09-05,11750.0,10500.0,9305.333333333334
2021-09-06,11750.0,10500.0,9283.0
2021-09-07,11750.0,10500.0,9283.0
2021-09-08,11750.0,10500.0,9283.0
2021-09-09,11750.0,10500.0,9283.0
2021-09-10,11750.0,10500.0,9283.0
2021-09-11,11750.0,10500.0,9283.0
2021-09-12,11750.0,10500.0,9283.0
2021-09-13,11750.0,10500.0,9283.0
2021-09-14,11750.0,10500.0,9283.0
2021-09-15,11750.0,10500.0,9283.0
2021-09-16,11750.0,10500.0,9283.0
2021-09-17,11750.0,10500.0,9283.0
2021-09-18,11750.0,10500.0,9283.0
2021-09-19,11750.0,10500.0,9283.0
2021-09-20,11750.0,10500.0,9283.0
2021-09-21,11750.0,10500.0,9350.0
2021-09-22,11750.0,10500.0,9350.0
2021-09-23,11750.0,10500.0,9350.0
2021-09-24,11750.0,10500.0,9350.0
2021-09-25,11750.0,10500.0,9327.666666666666
2021-09-26,11750.0,10500.0,9305.333333333334
2021-09-27,11750.0,10500.0,9283.0
2021-09-28,11750.0,10500.0,9283.0
